Coluna 1,Coluna 2,Consentimento para uso dos dados  ,2.1. Quais tecnologias de carteiras você utilizou/avaliou?,2.2. Qual foi a carteira principal utilizada?  ,3.1. Facilidade de instalação da carteira  ,3.1.1. Quais dificuldades foram enfrentadas na instalação?  ,3.2. Facilidade para emissão de uma credencial ,3.2.1. Quais dificuldades foram enfrentadas na emissão? ,3.3. Facilidade para receber uma credencial ,3.3.1. Quais dificuldades foram enfrentadas no recebimento? ,3.4. Facilidade para verificar uma credencial recebida ,3.4.1. Quais dificuldades foram enfrentadas na verificação? ,3.5. Facilidade de customização da credencial ,3.5.1. Quais dificuldades foram enfrentadas na customização? ,3.6. Outras dificuldades que gostaria de mencionar,4. Quais usos de SSI você considera mais promissores? ,Há conteúdos ou tópicos que você considera importantes para versões futuras da disciplina?
,,"Concordo com a utilização dos meus dados pessoais neste formulário para fins de pesquisa acadêmica, conforme a LGPD.","Walt.id, Veramo, MinIndy, Traction",Walt.id,3,Foi necessário descobrir que uma falha recorrente na instalação era devido à tentativa de uso de portas de conexão já utilizadas. Dois arquivos precisaram ser modificados para indicar portas disponíveis.,3,"Seguindo o tutorial foi possível emitir credencial padrão, mas não consegui customizá-la.",3,"Seguindo o tutorial, não houve dificuldade em receber a credencial, mas o processo todo poderia ser mais simples.",3,"Seguindo o tutorial, não houve dificuldade em verificar a credencial, mas o processo todo poderia ser mais simples.",2,Não consegui customizar uma credencial. Não sei se devido à minha pouca familiaridade com a ferramenta ou por estar usando uma versão de demonstração.,N/A,"Na minha opinião, os usos mais promissores de SSI estão em áreas onde o controle individual, a privacidade e verificações confiáveis são críticos, tais como: a) na área da saúde (ex. histórico médico portável e verificável, com possibilidade de controle de acesso a informações específicas), b) Credenciais Educacionais, c) Identidade Digital Governamental,  e d) Supply Chain Sustentável (ex. rastreabilidade digital de um produto atestando origem, transporte e compensações ambientais)","Acho que cada turma poderia contribuir com o desenvolvimento conjunto de uma infraestrutura de testes de componentes SSI, mantida pela [University]. Assim, além de tentar testar ferramentas comerciais que podem não ser amigáveis para customizações, os alunos poderiam experimentar em ferramentas idealizadas para uso acadêmico."
,,"Concordo com a utilização dos meus dados pessoais neste formulário para fins de pesquisa acadêmica, conforme a LGPD.","Walt.id, web5",Walt.id,3,Uso do docker,2,É minimamente complicado achar as credenciais que funcionam,3,Não houveram complicações,4,Não houveram complicação,1,Não existe a possibilidade de customizar a credencial além de alterar informações nos campos já existentes,"O sistema de API é confuso, porém com o tempo se acostuma",Controle de dados pessoais e login seguro sem senha,"Padrões e tecnologias em ascenção, como as novas verções da web, e como está o estado desses modelos atualmente, se são usados."
,,"Concordo com a utilização dos meus dados pessoais neste formulário para fins de pesquisa acadêmica, conforme a LGPD.",Walt.id,Walt.id,4,"Conexão ruim com a internet durante as aulas prejudicaram a experiência de imersão, mas nada que impedisse de entender os conceitos apresentados pelo professor",2,"O entendimento e a mudança de valores do content das requisições demandava maior atenção e tempo para customização de VCs. No fim, consegui realizar a emissão de uma VC customizada de atestado médico que foi criada corretamente pela aplicação",4,Entendimento da configuração do esquema da credencial,3,"Alguns comandos não funcionavam conforme o esperado quando eu customizava uma credencial. Porém, para a VC do tutorial, tudo ocorreu bem.",3,Trabalhar com os tokens e IDs que precisavam ser obtidos ou utilizados a cada passo ,,"Na esfera governamental, possibilita a criação de documentos digitais como RG e passaportes verificáveis, reduzindo fraudes e agilizando serviços públicos. No setor de saúde, empodera pacientes com controle total sobre seus prontuários médicos, permitindo compartilhamento seguro e seletivo. O sistema financeiro beneficia-se com processos KYC simplificados e maior proteção contra fraudes através de identidades digitais confiáveis. Na educação, viabiliza diplomas e certificados à prova de falsificação, facilitando verificações instantâneas. A tecnologia também se mostra essencial para IoT e ambientes virtuais, provendo identificação segura para dispositivos e avatares, enquanto no mercado de trabalho permite aos profissionais gerenciar e comprovar suas qualificações de forma autônoma. Essas aplicações demonstram como a SSI está redefinindo a gestão de identidades digitais, combinando segurança robusta, privacidade e eficiência operacional em diversos cenários.",
,,"Concordo com a utilização dos meus dados pessoais neste formulário para fins de pesquisa acadêmica, conforme a LGPD.","Metamask, Humanity Protocol",Metamask Wallet,5,,2,"Documentação legada (Proof of Humanity, o projeto antigo) entrando em conflito com o projeto atual (Humanity Protocol)",5,,2,"Endereços dos contratos muito dispersos na documentação oficial, alguns estão deprecados e outros não fazem parte dos pontos corretos",3,,,"Implementação de identidades como credencial na WEB3, seria um passo em direção ao fim do vazamentos de senha e ataques sybil",Credenciais verificáveis e algoritmos de consenso
,,"Concordo com a utilização dos meus dados pessoais neste formulário para fins de pesquisa acadêmica, conforme a LGPD.","Walt.id, Traction",Traction,5,Na instalação não encontrei nenhuma dificuldade seguindo o documento disponibilizado pela Traction.,4,"Foi necessário repetir algumas vezes este processo de emissão, pois tive problema em localizar o grupo_receita::id_receita no JSON do webhook.",5,Não tive dificuldade em receber a credencial utilizando o BC Wallet.,3,"Primeiramente não estava compatível os dados requeridos com a credencial emitida. Também tive problema em entender que o webhook de present_proof pode chegar com diferentes estados, como request-sent e done (quando a prova é entregue e completa). Mesmo após eu enviar as provas corretas belo BC Wallet não era possível visualizar esta prova na aba Verification.",5,"Utilizando um JSON consistente para definir os campos da credencial através do Schema Definition, não tive problemas.",Tive muita dificuldade em lidar com o remix para fazer deploy do contrato solidity. Principalmente para conectar com o Ganache.,Considero o uso de SSI no ambiente virtual para provar confiabilidade bem promissor. Também em utilizar credencial verificáveis para veículos e questões médicas.,"Explorar mais tecnologias para implementação das carteiras digitais e blockchain, com aulas mais práticas."
,,"Concordo com a utilização dos meus dados pessoais neste formulário para fins de pesquisa acadêmica, conforme a LGPD.","DIDs, AnonCreds, Criptografia Homomórfica em DIDs", Walt.id,5,,3,"Fui capaz de emitir, apesar de estar limitado ao que foi disponibilizado via a aplicação, não podendo personalizar",5,,3,"Mesmo motivo da anterior, consegui verificar mas isso seguindo os exemplos e sem personalizar para meu projeto",2,"A aplicação não permitia customização, consegui emitir algo mas bem simples dentro do traction, não alcançando o que eu gostaria",,"Financeiro, mas business que possuam problemas de confiança ou que querem garantir essa segurança também estão como grandes promessas!","Para a parte do projeto, acredito que tentar contato com a equipe do WaltId, a empresa é bem aberta e receptiva, acredito que eles possam liberar algo para utilização em salas."
,,"Concordo com a utilização dos meus dados pessoais neste formulário para fins de pesquisa acadêmica, conforme a LGPD.",Walt.id,Walt.id,2,"Atualizações constantes modificaram todo o fluxo/arquitetura algumas vezes; Documentação fica datada a cada nova atualização;  o Container Docker final é gigantesco, pode consumir todo o espaço do hd se utilizar Docker Desktop (windows/WSL)",4,"É bom para credenciais pré-configuradas, mas é impraticável para credenciais personalizadas. O processo de emissão de vcs personalizadas não é documentado corretamente e não funciona como deveria.",5,,5,,1,"O processo de emissão de vcs personalizadas não é documentado e não funciona como deveria. Para uma solução que é open source e deveria ser abrangente/customizável, o Walt.Id é bastante insuficiente neste quesito. Não existe jeito simples de emitir uma credencial personalizada, e todos os jeitos que tentei não funcionaram corretamente no ambiente completo (carteira+emissor+validador). 

Sobre a documentação: vários links citados tanto no projeto quando na doc online não existem/não funcionam/não refletem mais a realidade atual do projeto, o que dificulta muito o desenvolvimento individual",A atualização constante do sistema sem a revisão das documentações foi um empecilho muito grande pra confecção deste projeto.,"Saúde (prontuários médicos compartilháveis, certificados de vacinação internacionais), Prevenções de fraude financeira e diplomas/certificados digitais com reconhecimento global","Gosto da liberdade de definição de escopo e tema, mas ainda falta uma plataforma confiável para codificarmos o projeto"
,,"Concordo com a utilização dos meus dados pessoais neste formulário para fins de pesquisa acadêmica, conforme a LGPD.","Walt.id, Iota Wallet",Walt.ID,3,Uso do docker,3,Documentação faltante,1,Funcionalidade da aplicação para receber a credencial,2,,2,,,"Uso em farmarcias, controle do paciente, prevenção de fraudes, viagens e provas de propriedade",Uso prático na usabilidade de carteiras e como implementar aplicações que utilizam carteiras
,,"Concordo com a utilização dos meus dados pessoais neste formulário para fins de pesquisa acadêmica, conforme a LGPD.","Walt.id, metamask",Metamask,4,"Como construí o ambiente do zero, a maior ""dificuldade"" foi ler a documentação e fazer uma implementação básica da carteira na minha api",4,"Essa parte foi mais tranquila, pois para registrar as credenciais usei como modelo um json do w3 adicionado apenas algumas informações relacionadas ao motorista ser verificado como habilitado e um caminhão ser verificado como veículo. Acho que a maior dificuldade foi integrar tudo pois ali preciso emitir batendo nos meus endpoints e depois armazenar no banco ",3,"Não implementei de maneira completa pois fiz só a parte da gestão e verificação de tal usuário, falhei na lógica nesse momento, porém o ideal é que cada motorista fosse capaz de ter sua vc e conectar no serviço de qualquer empresa que considere a emissão desse documento verificavel.",5,"Só tive que fazer no sistema uma verificação de credencial e usuário, caso o usuário possua a vc ele estaria apto ou não a dirigir. No momento do link entre o usuário e o veículo a credencial é verificada",4,,,"Aplicativos que dão ao usuário o máximo de sigilo em seus dados e centralizam as minhas funções de usuário, por exemplo RG CPF e tudo de importante, carteiras de bancos físicos e digitais, e por fim que fossem utilizados apenas os dados necessários para utilização.",
,,,,,,,,,,,,,,,,,
